epoch,type,bucket,n_nodes,mean_degree,dE0_mean,dS0_mean,gamma_dS0_mean,m0_mean
1,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
1,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
1,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
5,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
5,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
5,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
1,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
1,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
1,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
2,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
2,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
2,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
1,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
1,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
1,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
1,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
1,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
1,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
5,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
5,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
5,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
1,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
1,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
1,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
2,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
2,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
2,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
1,user,0,3,2.0,0.7274178862571716,-0.042268555611371994,-0.042268555611371994,0.6351493306457996
1,user,3,1,3.0,0.7372950315475464,0.0,0.0,0.6872950315475463
1,item,0,3,3.0,0.764981746673584,0.0012831886997446418,0.0012831886997446418,0.7162649353733286
